"ORG SKU",SKU,Name,"Exhaust System Line",Homologation,Description,Category,Segment,Program,Brand,Model,"MY from","MY to",Price,Model_ID
DI-BM/CA/3/M,DI-BM/CA/3/M-23,"Rear Carbon Fiber Diffuser - Matte","OP - Optional part","ABE Type Approval","The stunning carbon-fibre diffuser is offered as an option with the choice of a high-gloss or matt finish. It is a completely new design from the one that comes as standard on the car, and it gives the rear of the M2 Competition a more aggressive and sporty feel. It shows off the tailpipes to their full extent and is a perfect accompaniment to the side mirror caps.","New Avgassystem","Sports Coupe",Car,BMW,"M2 Competition (F87N) - OPF/GPF",2018,2020,14932,130898
DI-BM/CA/3/M,DI-BM/CA/3/M-24,"Rear Carbon Fiber Diffuser - Matte","OP - Optional part","ABE Type Approval","The stunning carbon-fibre diffuser is offered as an option with the choice of a high-gloss or matt finish. It is a completely new design from the one that comes as standard on the car, and it gives the rear of the M2 Competition a more aggressive and sporty feel. It shows off the tailpipes to their full extent and is a perfect accompaniment to the side mirror caps.","New Avgassystem","Sports Coupe",Car,BMW,"M2 CS (F87N)",2020,2021,14932,138130
DI-BM/CA/3/M,DI-BM/CA/3/M-25,"Rear Carbon Fiber Diffuser - Matte","OP - Optional part","ABE Type Approval","The stunning carbon-fibre diffuser is offered as an option with the choice of a high-gloss or matt finish. It is a completely new design from the one that comes as standard on the car, and it gives the rear of the M2 Competition a more aggressive and sporty feel. It shows off the tailpipes to their full extent and is a perfect accompaniment to the side mirror caps.","New Avgassystem","Sports Coupe",Car,BMW,"M2 CS (F87N) - OPF/GPF",2020,2021,14932,138130
DI-BM/CA/4/G,DI-BM/CA/4/G-26,"Rear Carbon Fiber Diffuser - High Gloss","OP - Optional part","ABE Type Approval","Beautifully crafted hand-laid high-quality carbon fibre diffusers are perfectly styled to enrich the Akrapovič tailpipes and the rear of the car. The sporty and aggressive design adds an extra dimension to the whole package and shows the exhaust system off to its best. Available in high-gloss or matte finish.Diffuser also fits to M3/M4 CS (Sport Club) and GTS version.","New Avgassystem","Sports Coupe",Car,BMW,"M3 (F80)",2014,2018,17005,100819
DI-BM/CA/4/G,DI-BM/CA/4/G-27,"Rear Carbon Fiber Diffuser - High Gloss","OP - Optional part","ABE Type Approval","Beautifully crafted hand-laid high-quality carbon fibre diffusers are perfectly styled to enrich the Akrapovič tailpipes and the rear of the car. The sporty and aggressive design adds an extra dimension to the whole package and shows the exhaust system off to its best. Available in high-gloss or matte finish.Diffuser also fits to M3/M4 CS (Sport Club) and GTS version.","New Avgassystem","Sports Coupe",Car,BMW,"M4 (F82, F83)",2014,2020,17005,"100821,105899,"
DI-BM/CA/4/G,DI-BM/CA/4/G-28,"Rear Carbon Fiber Diffuser - High Gloss","OP - Optional part","ABE Type Approval","Beautifully crafted hand-laid high-quality carbon fibre diffusers are perfectly styled to enrich the Akrapovič tailpipes and the rear of the car. The sporty and aggressive design adds an extra dimension to the whole package and shows the exhaust system off to its best. Available in high-gloss or matte finish.Diffuser also fits to M3/M4 CS (Sport Club) and GTS version.","New Avgassystem","Sports Coupe",Car,BMW,"M4 (F82, F83) - OPF/GPF",2018,2020,17005,"100821,105899,"
DI-BM/CA/5/G/RS,DI-BM/CA/5/G/RS-29,"Rear Carbon Fiber Diffuser - High Gloss","OP - Optional part","ABE Type Approval","The stunning carbon-fibre diffuser is offered as an option with the choice of a high-gloss or matt finish. It is a completely new design from the one that comes as standard on the car, and it gives the rear of the M5 a more aggressive and sporty feel. It shows off the tailpipes to their full extent and is a perfect accompaniment to the side mirror caps.This Rear Carbon Fiber Diffuser - High Glossy, comes with red/white Akrapovič logo.Fitment notice: The diffuser cannot fit with genuine trailer tow hitch.With Akrapovič diffuser, hands-free trunk-lid opening/closing sensor is not working.","New Avgassystem","Sports Coupe",Car,BMW,"M5 / M5 Competition (F90)",2018,2020,17005,"131130,128183"
DI-BM/CA/5/G/RS,DI-BM/CA/5/G/RS-30,"Rear Carbon Fiber Diffuser - High Gloss","OP - Optional part","ABE Type Approval","The stunning carbon-fibre diffuser is offered as an option with the choice of a high-gloss or matt finish. It is a completely new design from the one that comes as standard on the car, and it gives the rear of the M5 a more aggressive and sporty feel. It shows off the tailpipes to their full extent and is a perfect accompaniment to the side mirror caps.This Rear Carbon Fiber Diffuser - High Glossy, comes with red/white Akrapovič logo.Fitment notice: The diffuser cannot fit with genuine trailer tow hitch.With Akrapovič diffuser, hands-free trunk-lid opening/closing sensor is not working.","New Avgassystem","Sports Coupe",Car,BMW,"M5 / M5 Competition (F90) - OPF/GPF",2018,2020,17005,"131130,128183"
DI-BM/CA/5/M/RS,DI-BM/CA/5/M/RS-31,"Rear Carbon Fiber Diffuser - Matte","OP - Optional part","ABE Type Approval","The stunning carbon-fibre diffuser is offered as an option with the choice of a high-gloss or matt finish. It is a completely new design from the one that comes as standard on the car, and it gives the rear of the M5 a more aggressive and sporty feel. It shows off the tailpipes to their full extent and is a perfect accompaniment to the side mirror caps.This Rear Carbon Fiber Diffuser - Matt, comes with red/white Akrapovič logo.Fitment notice: The diffuser cannot fit with genuine trailer tow hitch.With Akrapovič diffuser, hands-free trunk-lid opening/closing sensor is not working.","New Avgassystem","Sports Coupe",Car,BMW,"M5 / M5 Competition (F90)",2018,2020,14639,"131130,128183"
DI-BM/CA/5/M/RS,DI-BM/CA/5/M/RS-32,"Rear Carbon Fiber Diffuser - Matte","OP - Optional part","ABE Type Approval","The stunning carbon-fibre diffuser is offered as an option with the choice of a high-gloss or matt finish. It is a completely new design from the one that comes as standard on the car, and it gives the rear of the M5 a more aggressive and sporty feel. It shows off the tailpipes to their full extent and is a perfect accompaniment to the side mirror caps.This Rear Carbon Fiber Diffuser - Matt, comes with red/white Akrapovič logo.Fitment notice: The diffuser cannot fit with genuine trailer tow hitch.With Akrapovič diffuser, hands-free trunk-lid opening/closing sensor is not working.","New Avgassystem","Sports Coupe",Car,BMW,"M5 / M5 Competition (F90) - OPF/GPF",2018,2020,14639,"131130,128183"
